Task Name,Description,List,Priority,Time Estimate (minutes),In ClickUp,Status
"Init repo skeleton and Go module","Layout per D-032: cmd/konku, internal/{card,srs,auth,store,api,config}, migrations, web. go.mod, Makefile, .gitignore, linter config. CI grep asserting card and srs import nothing from internal/.","MVP","urgent",120,"yes","to do"
"Dev docker-compose with Postgres","Self-contained: pgvector/pgvector:pg17 on port 5433, app service, named volume. git clone && docker compose up must work. Also what CI uses.","MVP","urgent",90,"yes","to do"
"Goose migrations and initial schema","users, sessions, domains, notes, cards, card_schedules, review_logs, focus_sessions. user_id denormalized onto every owned table from THIS migration (D-039). Generated tsvector on notes. review_logs must exist now - retention cannot be reconstructed retroactively (D-029).","MVP","urgent",180,"yes","to do"
"Config loading and DB connection pool caps","DATABASE_URL, port, session secret, ALLOW_SIGNUP from env. SetMaxOpenConns(10) - Go defaults to unlimited and one app can starve every project on the shared Postgres (D-028).","MVP","high",90,"yes","to do"
"Scheduler package with table-driven tests","PURE - no DB, no HTTP imports. Intervals [1,3,7,14,30,90,180]. NextSchedule, DueCards (capped ~10, oldest-first), mastered terminal state. Local YYYY-MM-DD dates, never UTC.","MVP","urgent",180,"yes","to do"
"Markdown card parser with stable IDs","PURE. MVP parses `Q :: A` ONLY - cloze and feynman are v0.2. Owns both directions: Parse(md) and Insert(md, card) (D-033). Assigns IDs and writes them back as <!-- c:xxxx -->. Matching by content would destroy review history on a typo fix (D-019). Highest correctness risk in the project.","MVP","urgent",300,"yes","to do"
"Card sync on note save","Diff parsed cards against DB BY ID ONLY. New ID inserts at stage 0; existing ID updates content and leaves the schedule untouched; vanished ID soft-deletes. Note update and card sync commit in ONE transaction.","MVP","urgent",180,"yes","to do"
"Notes CRUD API","POST/GET/PATCH /api/notes. PATCH triggers card sync. Tool-shaped from the start - same operations later serve MCP and an in-app assistant (D-017).","MVP","high",180,"yes","to do"
"Auth: argon2id and server-side sessions","internal/auth. argon2id hashing (golang.org/x/crypto/argon2), sessions table in Postgres (revocable - logout actually logs out), middleware resolving session to userID in request context. Rate-limit login: the only unauthenticated write path. Rejected: signed cookies, not revocable.","MVP","urgent",300,"no","to do"
"Scope every store method by user_id","Every store method takes a userID parameter - none callable without one. Ownership in the WHERE clause, never fetch-then-check, so a wrong owner gets 'not found' and cannot probe whether another user's note exists (D-039).","MVP","urgent",120,"no","to do"
"Seed-user CLI command","cmd/konku seed-user creates the first account. No public signup in the MVP - registration behind ALLOW_SIGNUP, default off. Correct default for a self-hosted box regardless of intent.","MVP","high",60,"no","to do"
"Login screen","Minimal. Indonesian copy, plain and direct.","MVP","normal",90,"no","to do"
"Review API: due list","GET /api/review/due - capped ~10, oldest-due first. Returns the prompt side ONLY so the client cannot leak the answer before reveal.","MVP","urgent",90,"no","to do"
"Review API: rate a card","POST /api/review/:cardId with ingat/lupa. Reschedules via srs and writes a review_logs row on EVERY review (D-029).","MVP","urgent",90,"no","to do"
"React scaffold, note list and editor","Vite + TS + Tailwind, embedded via go:embed. Note list and note editor (textarea + markdown preview). No CodeMirror - deliberately undersized until the friction is felt rather than imagined (D-018).","MVP","urgent",480,"no","to do"
"Review screen with recall before reveal","Prompt only, then reveal, then ingat/lupa. The hidden answer is MANDATORY - showing it immediately makes this passive re-reading, which GOALS.md says does not work (D-003). Link back to the source note.","MVP","urgent",240,"no","to do"
"Focus timer UI","15/20/25/30/45 min, default 20, short durations first on purpose. Start/pause/reset. Works offline - client-side only.","MVP","high",300,"no","to do"
"Focus session logging API","POST /api/sessions - domain, duration, completed_at. Local YYYY-MM-DD dates. An 11pm session belongs to that day, not the next.","MVP","high",90,"no","to do"
